shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
1221_shp,42.4435000,-76.4853400,28092,358.6355150
1221_shp,42.4442200,-76.4851000,28093,628.9121600
1221_shp,42.4448900,-76.4850200,28094,874.0412540
1221_shp,42.4448900,-76.4850200,28095,874.0412540
1221_shp,42.4450800,-76.4850200,28096,943.2852400
1221_shp,42.4451500,-76.4850200,28097,968.7961830
1221_shp,42.4451900,-76.4852600,28098,1035.1963090
1221_shp,42.4452800,-76.4856000,28099,1132.6534090
1221_shp,42.4455800,-76.4860700,28100,1300.1264940
1221_shp,42.4463200,-76.4865700,28101,1601.6966240
1221_shp,42.4464300,-76.4870200,28102,1729.6018250
1221_shp,42.4463800,-76.4873400,28103,1817.8749210
1221_shp,42.4464900,-76.4874600,28104,1869.4129970
1221_shp,42.4467800,-76.4875900,28105,1980.7736630
1221_shp,42.4475000,-76.4876300,28106,2243.3940390
1221_shp,42.4475000,-76.4876300,28107,2243.3940390
1221_shp,42.4491500,-76.4876700,28108,2844.8206540
1221_shp,42.4492000,-76.4877500,28109,2873.0741550
1221_shp,42.4493200,-76.4882600,28110,3017.5033480
1221_shp,42.4492700,-76.4903300,28111,3576.4925730
1221_shp,42.4492700,-76.4903300,28112,3576.4925730
1221_shp,42.4498700,-76.4903500,28113,3795.2245860
1221_shp,42.4504800,-76.4908100,28114,4049.8525550
1221_shp,42.4516700,-76.4909600,28115,4485.4244810
1221_shp,42.4518800,-76.4907500,28116,4580.6585780
1221_shp,42.4519200,-76.4899500,28117,4797.0608620
1221_shp,42.4521400,-76.4898300,28118,4883.5322150
1221_shp,42.4527100,-76.4897800,28119,5091.7022790
1221_shp,42.4529100,-76.4899000,28120,5171.4618960
1221_shp,42.4531200,-76.4904600,28121,5340.8697620
1221_shp,42.4533500,-76.4907100,28122,5448.4726580
1221_shp,42.4542800,-76.4909100,28123,5791.6752980
1221_shp,42.4547300,-76.4906700,28124,5968.0015740
1221_shp,42.4546600,-76.4903800,28125,6050.3185740
1221_shp,42.4546600,-76.4903800,28126,6050.3185740
1221_shp,42.4542100,-76.4888200,28127,6502.1418250
1221_shp,42.4538900,-76.4884700,28128,6652.2180220
1221_shp,42.4537600,-76.4880900,28129,6765.1872510
1221_shp,42.4537600,-76.4880900,28130,6765.1872510
1221_shp,42.4537600,-76.4880900,28131,6765.1872510
1221_shp,42.4537500,-76.4876400,28132,6886.6881170
1221_shp,42.4538300,-76.4871200,28133,7030.0224170
1221_shp,42.4537900,-76.4867900,28134,7120.2680600
1221_shp,42.4536900,-76.4862800,28135,7262.6502700
1221_shp,42.4536900,-76.4862800,28136,7262.6502700
1221_shp,42.4536900,-76.4863000,28137,7268.0478840
1221_shp,42.4536000,-76.4858800,28138,7386.0480850
1221_shp,42.4535800,-76.4847600,28139,7688.4028370
1221_shp,42.4535900,-76.4844300,28140,7777.5381570
1221_shp,42.4536700,-76.4821800,28141,8385.4698730
1221_shp,42.4535900,-76.4817500,28142,8505.1250690
1221_shp,42.4534000,-76.4814000,28143,8622.2453510
1221_shp,42.4532200,-76.4811900,28144,8708.9367830
1221_shp,42.4530200,-76.4811400,28145,8783.0638850
1221_shp,42.4528600,-76.4811400,28146,8841.3746920
1221_shp,42.4528600,-76.4811400,28147,8841.3746920
1221_shp,42.4528600,-76.4811400,28148,8841.3746920
1221_shp,42.4526100,-76.4811500,28149,8932.5252870
1221_shp,42.4525600,-76.4808900,28150,9005.0229120
1221_shp,42.4525100,-76.4805000,28151,9111.8440140
1221_shp,42.4525500,-76.4802000,28152,9194.1115980
1221_shp,42.4526800,-76.4797700,28153,9319.4606840
1221_shp,42.4529700,-76.4789500,28154,9564.7075600
1221_shp,42.4531100,-76.4787100,28155,9647.1615310
1221_shp,42.4532100,-76.4785700,28156,9699.6571080
1221_shp,42.4532500,-76.4782800,28157,9779.2691240
1221_shp,42.4532600,-76.4772800,28158,10049.1763140
1221_shp,42.4532600,-76.4772800,28159,10049.1763140
1221_shp,42.4532500,-76.4754100,28160,10553.8699040
1221_shp,42.4532800,-76.4751600,28161,10622.2206400
1221_shp,42.4533000,-76.4749300,28162,10684.7200770
1221_shp,42.4533000,-76.4743200,28163,10849.3483350
1221_shp,42.4533600,-76.4740600,28164,10922.8458810
1221_shp,42.4534900,-76.4739000,28165,10986.9492180
